Run Number,Duration (ms)
1,46.0052490234375
2,41.016578674316406
3,39.75319862365723
4,42.775630950927734
5,39.20340538024902
6,39.07656669616699
7,40.77029228210449
8,40.4658317565918
9,45.44472694396973
10,45.41301727294922
11,39.55245018005371
12,41.552066802978516
13,45.299530029296875
14,50.22883415222168
15,42.46258735656738
16,42.34933853149414
17,40.851593017578125
18,39.112091064453125
19,39.39533233642578
20,39.678096771240234
21,42.639732360839844
22,39.95966911315918
23,41.02921485900879
24,42.96994209289551
25,40.833473205566406
26,44.287919998168945
27,51.416635513305664
28,39.68191146850586
29,45.99785804748535
30,40.20857810974121
31,45.07589340209961
32,51.1476993560791
33,47.89590835571289
34,46.99444770812988
35,40.8170223236084
36,41.7628288269043
37,37.90712356567383
38,45.04203796386719
39,38.88225555419922
40,42.57607460021973
41,40.62700271606445
42,45.43876647949219
43,41.98646545410156
44,41.637420654296875
45,46.69833183288574
46,40.53997993469238
47,38.88583183288574
48,43.72119903564453
49,40.82131385803223
50,41.69487953186035
51,43.35594177246094
52,46.92506790161133
53,38.95688056945801
54,43.02787780761719
55,49.03268814086914
56,44.59023475646973
57,39.270877838134766
58,39.86382484436035
59,39.39104080200195
60,41.440725326538086
61,40.52448272705078
62,40.02690315246582
63,48.95806312561035
64,42.74630546569824
65,43.5793399810791
66,43.62893104553223
67,41.56208038330078
68,42.31858253479004
69,44.79026794433594
70,40.56429862976074
71,38.073062896728516
72,40.450334548950195
73,39.30377960205078
74,39.7181510925293
75,39.273738861083984
76,47.29008674621582
77,40.48013687133789
78,44.90542411804199
79,41.08166694641113
80,43.228864669799805
81,39.89982604980469
82,38.50913047790527
83,40.41743278503418
84,41.43261909484863
85,47.57046699523926
86,39.98708724975586
87,38.69819641113281
88,42.5262451171875
89,38.01989555358887
90,42.09470748901367
91,42.68169403076172
92,40.65656661987305
93,39.05892372131348
94,39.687395095825195
95,56.14972114562988
96,40.51804542541504
97,41.86844825744629
98,42.156219482421875
99,38.176536560058594
100,44.2814826965332
