Run Number,Duration (ms)
1,89.86711502075195
2,42.8316593170166
3,41.374921798706055
4,40.863752365112305
5,39.77847099304199
6,50.0638484954834
7,40.60983657836914
8,40.33517837524414
9,42.720794677734375
10,52.09660530090332
11,46.590566635131836
12,48.02274703979492
13,40.66753387451172
14,50.51231384277344
15,39.698123931884766
16,41.95117950439453
17,45.52745819091797
18,41.454315185546875
19,47.42288589477539
20,41.81528091430664
21,39.53266143798828
22,41.18800163269043
23,39.18957710266113
24,42.8776741027832
25,41.185617446899414
26,49.76916313171387
27,43.67351531982422
28,46.39172554016113
29,51.558732986450195
30,42.23227500915527
31,42.59538650512695
32,43.532371520996094
33,46.11015319824219
34,39.490699768066406
35,39.090633392333984
36,43.05458068847656
37,39.77036476135254
38,47.85919189453125
39,40.02690315246582
40,41.8848991394043
41,39.594411849975586
42,52.63566970825195
43,50.58574676513672
44,40.54975509643555
45,47.85013198852539
46,42.47736930847168
47,45.67885398864746
48,42.4189567565918
49,43.348073959350586
50,39.720773696899414
51,41.08023643493652
52,45.674800872802734
53,41.79787635803223
54,41.020870208740234
55,40.89832305908203
56,52.16217041015625
57,39.62993621826172
58,40.89474678039551
59,47.20139503479004
60,42.470693588256836
61,51.27525329589844
62,41.12815856933594
63,39.57676887512207
64,42.74892807006836
65,42.765140533447266
66,38.275718688964844
67,40.59171676635742
68,43.30706596374512
69,38.6502742767334
70,38.06304931640625
71,41.24808311462402
72,44.127702713012695
73,39.77036476135254
74,49.666404724121094
75,42.61326789855957
76,39.624691009521484
77,40.88878631591797
78,41.062116622924805
79,52.90961265563965
80,42.23442077636719
81,40.015459060668945
82,49.06940460205078
83,41.5346622467041
84,38.46931457519531
85,40.23480415344238
86,40.666818618774414
87,41.17321968078613
88,43.19596290588379
89,46.37002944946289
90,40.02046585083008
91,40.39597511291504
92,44.66438293457031
93,42.00434684753418
94,41.28456115722656
95,39.95013236999512
96,40.15231132507324
97,40.21501541137695
98,39.26968574523926
99,43.15495491027832
100,44.811248779296875
