Run Number,Duration (ms)
1,37.16754913330078
2,32.956600189208984
3,31.88037872314453
4,30.811071395874023
5,31.96549415588379
6,35.0494384765625
7,31.9516658782959
8,36.57412528991699
9,30.379533767700195
10,33.59675407409668
11,30.55715560913086
12,31.856298446655273
13,33.55860710144043
14,40.55190086364746
15,31.904220581054688
16,36.180734634399414
17,35.184383392333984
18,42.94157028198242
19,35.00533103942871
20,35.803794860839844
21,32.60684013366699
22,31.194210052490234
23,33.81800651550293
24,32.33051300048828
25,34.07764434814453
26,32.51290321350098
27,33.95342826843262
28,36.04865074157715
29,40.36974906921387
30,33.8134765625
31,32.97090530395508
32,32.433271408081055
33,32.74178504943848
34,34.2864990234375
35,33.51092338562012
36,34.99436378479004
37,30.936717987060547
38,34.1639518737793
39,33.07151794433594
40,34.82866287231445
41,57.268619537353516
42,37.31203079223633
43,33.64706039428711
44,34.15346145629883
45,32.78374671936035
46,34.72161293029785
47,32.21869468688965
48,34.026384353637695
49,41.74375534057617
50,33.179283142089844
51,32.70983695983887
52,33.2796573638916
53,31.3417911529541
54,35.80355644226074
55,32.93585777282715
56,32.22513198852539
57,32.94968605041504
58,39.16168212890625
59,35.2628231048584
60,35.25090217590332
61,32.99260139465332
62,31.599998474121094
63,33.21647644042969
64,36.548614501953125
65,36.370038986206055
66,33.20908546447754
67,30.642271041870117
68,32.20629692077637
69,33.33902359008789
70,34.17825698852539
71,40.657758712768555
72,34.566640853881836
73,40.83585739135742
74,38.94662857055664
75,38.72084617614746
76,31.0211181640625
77,33.45322608947754
78,32.494544982910156
79,50.62222480773926
80,34.92593765258789
81,34.7287654876709
82,30.45368194580078
83,38.27190399169922
84,39.90888595581055
85,35.98451614379883
86,35.18342971801758
87,55.45306205749512
88,30.910015106201172
89,32.05108642578125
90,33.59484672546387
91,31.828641891479492
92,38.62333297729492
93,33.01072120666504
94,36.128997802734375
95,30.895709991455078
96,36.03863716125488
97,32.6387882232666
98,32.3636531829834
99,33.02812576293945
100,34.55400466918945
